player_id,rank,division,tier
tU_SLJZ3iXlOk2-AV7QI9EK7ZN5p4DnjxWD0A5F-WUGXGDjBkt9UynDO_1Fe4qxee51hGoomhyxoAA,IRON I,I,IRON
XvCYyWy_BdkftQh1Q8K0p6aV7tBLCuZ1sRbN0uniabpmR_Mrk0qSPfn4WH8Wi6u1tpXRKdzHrS3XNQ,IRON I,I,IRON
d-vlzcQlvcO2ch2i9D6V0EIGvKzY2U0W3vs0IDYVwQYeDmSfAwCe5g5Kn-8odEspi9psqBt9R_weIQ,IRON I,I,IRON
wxqgyaWQqaayr9egvG-OkGrywhjeNqqraBY1TKQgXFlqiIXwNQ9L6dkh0R4dt_cmSDpQ24gXOtxJEA,IRON I,I,IRON
-8gF0n9ZttOGKJZy708E-EIbEq7PGpl9C3L_7EvjgsZO__Hg6egMwqYh9fFE8lAcagUQUWFOAMvEhA,IRON I,I,IRON
QzC5VEqhoISs6M66WwD0tQa8DnHtelDL9AFweQylyF9CHZlHcAnwKXFsl4M6AbO4D7ouJnPv2Q089A,IRON I,I,IRON
tu-QqJpNQR3Ll4VRCbiqJii6-tLDaBwgh6gDik-2rCySzU5cS9iu9IVMVw5XONx77_o0ntMW-Y72AQ,IRON I,I,IRON
f2aOl0zzVPiKxkr6TwXKW0Ayw8vyphHcO6z5RI3Efz1JPX5BUa5uBJK45db_W7axblnBNMSwv1Uljg,IRON I,I,IRON
_2gng7wFb7aGGm1Bvscb6hHdT-uCf4qJoBhUkkEIsBvWraU8SiPlhGxjfw-nl92P4VNEMsTlVmWYeg,IRON I,I,IRON
3KgevGiArShxKYAwBtbfpk0jaCDVnIc_u8pHq_s6vSxXuIwFC_AP7ASESWuUk4uPLJqA93j3FUX9BQ,IRON I,I,IRON
kGMh6uyRPGDQ_f4QPNdxeKogmKiIFENeNPPn_maNl9hJu0JeCp5y3Sjgg-PCYHxp4SSEDDy1ayUeuQ,IRON I,I,IRON
FLhZrq3p5gp9iMEeOvFm3rkLNF1lZ_b4VY-7ge66YKfr-1ErmpBcjSr5pDKHwu8fAaqDGRtlwOlLTA,IRON I,I,IRON
ujxyWKCPIRwtO6yO5h10Es_hJ54t2GhIUueLPM3nI2eFloxgN_bZWlDkM4HE9DbK3b-mmoWUzaAWwg,IRON I,I,IRON
ayoilx0mz62wsxtM31fkF5thS1in7WbWBNC8__TrJJLz80ufcA6tfxJeKzBnsGiYt9pJnbq44lk4ZA,IRON I,I,IRON
ioD7idmtqHuyXoT7rF5RQM3jfgEXHCELmyP-hC86IoOVuP6XANrC7ZKW5EB7fYlpuueQWkE-DoLOxw,IRON I,I,IRON
0S7vV_pXHBzi_omV-dTIn3wciMKp3fQiZlccvlwhEw3Mu0He3dSyqSfq1Bzm5FGEEdHQa-fSPkVLuA,IRON I,I,IRON
WLZJXsoIkeNdlglHSQYz8wmttlZqtqTWk9t3GtthF5BD6S_3idphVWj7Pk_WvYmI9NYQkaopCoz0Fg,IRON I,I,IRON
jEFrb10Mr-M5YmbYjgvR8aBH6GI7dxDJ0AqEJcp-au8yW9yf-2DKAVf0HdaD025pjSL37SIT2RzZfQ,IRON I,I,IRON
dmvGy_cj95vqp9RDzgQ7l8zU3y_5cFR_iVriD54SagrzSjK44znV81ZFVAs3h0g_uE18otQ8PpUZSg,IRON I,I,IRON
ZEmMTywM3JAM7bwzLzZMZp57d967YORQQPmoepOd8oXTDTdcm9_aZEN1geLVWCKabsBtaq906Hx1Xg,IRON I,I,IRON
oNlbnRvtvFsknG2MTA8Y0waJaYtaqDEYXeCgyUxLLelm-WhIsF0SMRfV8wGeGw2W7XVobkGxZTtsFg,IRON I,I,IRON
caGkL4xcLTXzR9QDDVT9qLPTHzywG-DU-FAT9bIswXfUtk7XWZDYhG9NKVfpzRP-_cN7NMXMvNoPMw,IRON I,I,IRON
