player_id,rank,division,tier
HMLpNjAav_zyTYxvOzy5TWrN5QHUjjsn2Sp4LNIojeZXZ541AWgA2tbDSADF-ydsdDtoghdGCd7TNQ,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
tFQr38AhHkZCSJ2EFkvb78JYdPJfx7--V-sZahVDErxd7rFjN-_ToYfdV29X43oIakjlzJJL3aG4Ug,IRON II,II,IRON
TJub2pfiNH1xQiHKQCs1NEWWmi44_B_PndUCMWVKSHnB9Db4wKcsGkZAVlklSd6KgTHJhDP2QndIqw,IRON II,II,IRON
RpAd2-bjHdj-Hsd6Q-JfCNoMCQnfTdg6L7u5beU0_bAcBtmLQoMY0FI5L-UPxAV-oEHKfJIBdy1zpQ,IRON II,II,IRON
E2wbeNdjvz_ravTYkp-JP6P3caX8CwE81YnTBoeVkMvKpf79WdE8Ju0613hHTW--0Udpvy4XomJ3hg,IRON II,II,IRON
y2KrcMVaEH0mQ0U1SdNqyMDVRp_I9rPZqW8rG4LH4vTU_4oYN8dk7KdK7B07-gb77pKpPMCQI6-Sig,IRON II,II,IRON
P7JqRLasjkgjkJxUjpF_Ypwr5xUALuIijInwXA1MzmvhSTP2hdR_w3FodsCFkXDrC8BFMhRM75_cyw,IRON II,II,IRON
wY2kFrhfiLo6-KwuLK28n_jsGiwM1t7whV-rvHeNk4lVuC-640ULChGvUb5KXwIeNfCcMsYDOEANVg,IRON II,II,IRON
ZSGXIYMNybnKYGlZT7BBCYOxZ1BQlxdPLzarSEhLjhfYYoUkONSofU6qkxVuKCGJs3oerLPkRWqd9A,IRON II,II,IRON
2Nj1FUQGBu6WZ6r8GsV4NWSHxTS7DbgAyoDenZhHxv0TnydX6KVwUEmlRgAjf6kUSQcXsUCje7ttOg,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
upbH28gBbVHlxUZoll_pncdPM0llV-4N2opImTRBS_zB7j5Uz3ZeJzz52r338LY3f4utXLgULFTlJQ,IRON II,II,IRON
GWFJkunBqyPSgiT6wnv_7XP6TCnW_OvOSa72ePEic3ojwBMYB2fGqvwlB43SvjYZttcMrvPpRyjpPA,IRON II,II,IRON
SIGqm2hgrRpjAPk_hUiAjxOp3YB_hNMheyCYclPF6pv7aUicFwk5aQjHJQpBh8JABFJ-Rn1roGvXXQ,IRON II,II,IRON
Ymu69pL4faJPVq98vrNUiewJo6QK8eTiy9ny4BT5uJ9tHM6IDvA6uE_f6-B3TED7-aXm_8uYkfR8Rw,IRON II,II,IRON
bX-61UgZcPfy3lRWfHPuw7YOfIijXqiH0F3F4oo9yXEgvqhbU5-SZK44aKWK1bXYY8hnJJ2Eezgbyw,IRON II,II,IRON
pJEk_FjbsNavLTaFDvTN6Wxek5HCIEjjGr07qVwu0yeCQN4fxgMSRF4XBArUqHSmjTeM2bBDu5-8bA,IRON II,II,IRON
2o63xojAQMNSa94jF-yICW4Es4Ww3ouvau7K_F1-Az3JsgccdkYcDWavyleta1LNPrl1XgCzVjvf_w,IRON II,II,IRON
WqO5cv099YDSJ8igdZ0hI3z0Vs60XkB8OEji2euMoLGsoTl_Nj82V7s_jUAXAz0vSiEMk-GeMU2aBg,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
YMUaxtVT_gsXRJe2mbePVV-hsZWDxjwTxK7RmelguP1YHKUYomoWK1RTl_FyaejNqrdVluV9U5qcDg,IRON II,II,IRON
CIFwXqwJylmcUXY0HZIt7ZQI_bT5JGAdG0fQ_LLkBWAW9u-gN_sfnsoBn8THYYX6FAX8eSIzNS_z8Q,IRON II,II,IRON
hcejDPxfc-ButnkWqd5FvwD8zWlFsgLzLzkIm9mBGAo94DTARYJaIhOWshhQGn0N3wfEhXkq3w0suw,IRON II,II,IRON
qrrPZMieokI96THrintmRl-HSMrp-75tWnoicoFWv5JaZWk57g9I2k1iTjEx4uxkFU-ijG35j3Swsg,IRON II,II,IRON
YZ3DyG760xG4ES_AhEX4xW9eCrXoaxWQgqz3ubhar6D03QOsYv6CMhUZ7xZBRqVv1VBP9LxUoixQNg,IRON II,II,IRON
6HKeczJzFqciHN3fohEAn0a7rB5hfiFqpa5zhUCBllMUhh9lPFlmNUrxs6rPKyUtU6MJ-oCFpabH1g,IRON II,II,IRON
b49eN2ph0llaKg7ynLppD5dxM4zY2LoZKD-rsNEsiyP54vAxZ2GLGJbrniIXDKAUu-L4k1K3GtqOvg,IRON II,II,IRON
D9FCOJR5P9ncGTtsi0i3qCNcQME_h_IoiWUXzdtxg9XjZAwgqT5mzGeh76E_MuNNnILgCiMbThWT9A,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
2pCuofMXtBnymwOTrmgmx0Q0Hp_BFTBbNojfIHTtFa8izL2I0A5S8xsfVNPl725PQJu4eW4k_egi1A,IRON II,II,IRON
2NDNM_VLXu1zGRUEDoTFyrr6baEkmMX7XQ3vwsC7KeUW7kOJI68m67fOWO6kufEW_fSg3u4ZGhbG0A,IRON II,II,IRON
vz9xu8PXDr34EaR6R0TU1uy1jClHq3oOkbWjRWzSWb2XHQvS3olIh0_yz-oA27Pfck4HwyhuSoOLkQ,IRON II,II,IRON
sZbnEcx3IGPz9Gc3xhH5105aaZgoreYskNkHgglKfyhmg2Jgs0Td0016POOT37cpc-kC7ZsSDtaBlg,IRON II,II,IRON
llC0-mYMXPmLT6ScFCLfrlE0u-xU_r75xsHD2a5nkIw3T-KmCTo7IcwRODpemP1sgKMpELVxDX8DIQ,IRON II,II,IRON
Jkx_RYYouSYb1FoZQVLucxxqOlG4kWh8DilCZCugic25ixDivEFC_0cJWxsZN5OS5eqNMY1TGi8v6w,IRON II,II,IRON
ng9R1Zhmqp-SF6j-I_Z8x714YILGBYvRxFAsqCzaB9C2XjSRSty4EDA8FS1rXbiHJcaMM6OBlbCLKA,IRON II,II,IRON
CkPAVIRKWwr2VU21AOdtD84UBTOzAys7F8_gapHLSo6M_BiE5DorD66odjVEiWzMiHOmTbAemmDt4Q,IRON II,II,IRON
6oaiZvUGfjOlg-bJkk3snkGqVVqbLYHoeTr49JmulIg-Ofq7ahOYsRnCzgm2kofEb4fcnmKnlEjE1Q,IRON II,II,IRON
O22QjrSk4_-a6bi29RHNvUW9V5voKaAVq-f03-ZZo71j8TvhCE2boWsYlwoUzJcE_eISg-QqlSx4xQ,IRON II,II,IRON
CtwM4ETo2XTEnNZuC7EUfd3f-1cwZLMVouu3prF2DvU8O1Fln0Yf0IhSnzmUHtPJozPgbn-yXciuMg,IRON II,II,IRON
hY93WxpdpZULZe9RMFt-3G0bJ_gh4jFivOSgR9HDQzkgbMe48B3upXBXhVkFWvOTSOwC_WRtTYSmrw,IRON II,II,IRON
vUkqUT2hgGbBlpDGZ5pxCUqPWu-oRcf8LG4zIH_KV_7d2UFvVtkGKN5DyL1RH_tXY3_N0MXz6_CEXg,IRON II,II,IRON
3Nirkd0X1glaF3pzzJRSI4XcAblBK7v-USYqCUbzW8N5EZwDuhBkv2myXbs5YEiX3bk9FUT8LbdlmA,IRON II,II,IRON
zkopI9PnwqVb07p5zCqOSuJU7MBqBTkERjM8XNr46lvPM-kN6No_CK175J1ya7MiXpLX92dSUQBHMA,IRON II,II,IRON
