player_id,rank,division,tier
CA_9C5Csyb5PvdCOjmzxdk5fPwrzpEGIPCxc8ejIb2_jhedN9CoQ7ZFfEAr_M--ZVHTuvbrojH4Emg,IRON III,III,IRON
NQzH2WfdlBl_A6au691W7GP6rCYcOvWHnETTdUlPU15LWAsq9GhQq7at3f8oge7yqfojGkP0iaHQ3A,IRON III,III,IRON
RW2z3Ugd7NqDPm6AoRKvCDDMy8i89Ltc8e8A3QjwPgR4pMeee0cI4NZofelcFBbZdJd7VMhuMsOtcw,IRON III,III,IRON
pPw70M08rA13kqtLfeJKdn2HJzo7vHX-vfVw1L1sXpRTEIVR2RCN94nDyJhDmkX9SR_O5ul7clRPgA,IRON III,III,IRON
uDKO8fEmTk1Ala3JOPDD_bzlvz2eLN8vhdE0GRqkc0drpNWezZyYI8w4nN84VN-mK0ksqOVkQw_bXQ,IRON III,III,IRON
3YAgQTOLAuSq0JmK6inev7P2XEd7KSZStdGnJrIiTF5jhTmsUSs1ARqEcpn1G8OroV7nO_-AQQFpbg,IRON III,III,IRON
wb3NfWeTG6DcNpwfFxbwteP6hQRP7iePJEewFcTrmzjMLSGG2iE5cTa-2mVz42JAldoxxh8TEteVag,IRON III,III,IRON
049N6ixnUMcHluavIbwolaNL6KfdyDcRqy3EuJ1UzwKZGhtUwSJ0ZfouR-yS5d_9wjdWDSM__Racww,IRON III,III,IRON
ajI7OXXk6Ch3JHMo4UlAUnGxwGjE1Zuxn7t4gm74mA0kDZ-KLdm4HPR-yiRz-BAJhDLVjEDuXbsOlw,IRON III,III,IRON
EJDzevSLw5QMck1-X5Xtq8TixScugXh0l3mcKULrJ64IwB1unKSbx-AkwXkE2kHN_BG98rUunV8uMg,IRON III,III,IRON
CA_9C5Csyb5PvdCOjmzxdk5fPwrzpEGIPCxc8ejIb2_jhedN9CoQ7ZFfEAr_M--ZVHTuvbrojH4Emg,IRON III,III,IRON
wqG8MQ20IJWubgbZ650rR4dAUXSysgxKT2mWeLI7pX-7npjf58bNzkzFpvL9QgCu5-kBA6SymU_4aw,IRON III,III,IRON
