player_id,rank,division,tier
B_OS4cYcJr2KE74eznv9vyUkjpActFiSbHMrb8h057zXCfmegqeBTOYHg547o6wMWmnQXjq6SD8x9w,IRON IV,IV,IRON
0NxKrA2BdbhUnTjdhvRDATeDxkDhHlv5GxXPVFCysVFhWt0McY72wf4GlU0j1hmRCHMtuK3XeKSDjw,IRON IV,IV,IRON
WQKwv4wlfb1Sf9QKspFhgC5gNeYNcNwEfWlo_l7BFsesT3A6nXVCwCd39-2vvpef2D_y6W18_rbvBw,IRON IV,IV,IRON
x1wCAiB3sQwTAKlxDaNTu6bqP3rvuRLDzi9kbxjUyTxgXcqTa8RQudPyULBTCn094QRscWvtsYVaTw,IRON IV,IV,IRON
Sjp9rrs6AiAi6hpJ78iMVo1DsKsDdfKgAegpEJCRN6sSit5P5IGtvt85Qm7NQ6p78mvLv13Y-m91jQ,IRON IV,IV,IRON
xV3cuQx75itpiPVyrx0kwFM8RxmHB3HVGMmErOeSOXwC3Ki6JDA94Nk8yK_OQZOYhD-MLb4lUx6gvA,IRON IV,IV,IRON
N1lDDl2S8YhAyeM9vrl1HWK_fS0YxhNemzEFmp4roZV85ar3P04ks-A_hc93L1eD0KymstlEkfDAGA,IRON IV,IV,IRON
M3d4K6cXvIdRkS7EN87crLOCnsaAM1uSGs7Jl7hxFKIiSTHPJ3knfweWLt-rJCx5Hn6V1YWekky7ww,IRON IV,IV,IRON
4i1Ziq5oYUUryyYqbEorQHX_JIH9_r77kR4gc1n2Fqe09U01ZaHtogD7sTaBSOiyBKiEl7JRkbbj7w,IRON IV,IV,IRON
OO_s7HzggwKov_milgD9Wjr1_pr_9kQGej9Pbb8ehHyukT00BJFdSaY8uJhBY0UvOcYLQsA0Qnj5ig,IRON IV,IV,IRON
eQOY_1N538YlAJzdv-Sk81TTn2_QHfaDqDrTXkBDSPdIVafUFnxvZLx9GMcuCh0jSw1Hp8hGpajYzQ,IRON IV,IV,IRON
6M-XRuXvY9Uhp14vLHCELHV2bdHcFPkZUawuGIi0P7l6lIa-YEvWEV6MDEj9ONaj5CP_3dh5Ps5SPw,IRON IV,IV,IRON
